objecttype|sanfinancialdatapk|sanbalancedatapk|dealpk|facilitypk|utilizationpk|dealidservicing|dealidservicingname|facilityidservicing|facilityidservicingname|utilizationidservicing|utilizationidservicingname|contractpk|contractfulfillmentid|contractlinepk|contractlinefulfillmentid|accountingid|portfolio|sourcesystemaccountingid|referencecurrencybalance|referencecurrencybase|santotalamount|sanliveamount|sanavailableamount|sanusedamount|sanamortizedamount|sanreleasedamount|sanirregularamount|fxrate|santotalinterest|sanpaidinterest|sanaccruedinterest|sanpendinginterest|sanirregularinterest|sanadvpayaccinterest|santotalinterestcurrentperiod|sanaccruedinterestcurrentperiod|sanpendinginterestcurrentperiod|santotalfinancialfees|sanpaidfinancialfees|sanaccruedfinancialfees|sanpendingfinancialfees|sanirregularfinancialfees|sanadvpayaccfinancialfees|santotalfinancialfeescurrentperiod|sanaccruedfinancialfeescurrentperiod|sanpendingfinancialfeescurrentperiod|santotalnonfinancialfees|sanpaidnonfinancialfees|sanpendingnonfinancialfees|sanirregularnonfinancialfees|sanmarketvaluepercent|sanmarketvalue|santotalfinancialfeestax|sanpaidfinancialfeestax|sanpendingfinancialfeestax|sanirregularfinancialfeestax|santotalnonfinancialfeestax|sanpaidnonfinancialfeestax|sanpendingnonfinancialfeestax|sanirregularnonfinancialfeestax|sannetmarketvalue|dealstatus|facilitystatus|utilizationstatus|cibproductcode|valuedate|assetflag|maturitydate|servicingproductid|servicingproductname|bookinglegalentity|bookingcountry|businessarea|latestdrawdowndate|recourse|committedflag|revolvingtype|dealversionid|facilityversionid|utilizationversionid|sanbalancedataversionid|sanfinancialdataversionid|deallastevent|facilitylastevent|utilizationlastevent|sanbalancedatalastevent|dealprocesstimestamp|facilityprocesstimestamp|utilizationprocesstimestamp|sanbalancedataprocesstimestamp|sanfinancialdataprocesstimestamp|sanfinancialdatalastevent|accproductid|accsubproductid|sanpaidinterestcurrentperiod|sanadvpayaccinterestcurrentperiod|sanpaidfinancialfeescurrentperiod|is_productive|sanadvpayaccfinancialfeescurrentperiod|sanadvpayaccnonfinancialfees|sanunsettledamount|capturedate|tradedate|servicingboteam|data_date_part|sourcesystemid|bookingoperationalentity|data_timestamp_part
Facility|451743|585709||148749||||PRE000301CLE22|ANGLO AMERICAN SUR S A|||0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|1000000000000.000000000000000000|0.000000000000000000|999993210000.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|1.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|6400.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000||LIVE||PGCB020530|2025-04-08|1|2026-03-21|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC|2025-04-08|0|1|REVOLVING_CREDIT_FACILITY||2||3|1||ATTRIBUTE_CHANGE||ATTRIBUTE_CHANGE||2025-04-08 11:41:01.844||2025-04-08 13:35:42.896|2025-04-08 11:41:01.844|ATTRIBUTE_CHANGE|81|4073|0.000000000000000000|0.000000000000000000|0.000000000000000000|1|0.000000000000000000|0.000000000000000000|0.000000000000000000|2025-04-08|||2025-04-09|CONFIRMING|BSCH|20250409162209
Utilization|451739|585711||148749|416857|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O2-TA000000000025810|CL-CK8-A-CLP-0000005978949|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.000000000000000000|1995500.000000000000000000|0.000000000000000000|1995500.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|1.000000000000000000|1133.000000000000000000|0.000000000000000000|0.000000000000000000|1133.000000000000000000|0.000000000000000000|0.000000000000000000|1133.000000000000000000|0.000000000000000000|1133.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000||LIVE|LIVE|PGCB020530|2025-04-08|1|2025-04-10|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0|1|REVOLVING_CREDIT_FACILITY||2|1|1|1||ATTRIBUTE_CHANGE|CREATION|CREATION||2025-04-08 11:41:01.844|2025-04-08 13:35:39.865|2025-04-08 13:35:39.865|2025-04-08 13:35:39.865|CREATION|81|4073|0.000000000000000000|0.000000000000000000|0.000000000000000000|1|0.000000000000000000|0.000000000000000000|0.000000000000000000|2025-04-08|||2025-04-09|CONFIRMING|BSCH|20250409162209
Utilization|451740|585712||148749|416858|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O2-TA000000000025813|CL-CK8-A-CLP-0000005978952|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.000000000000000000|3605500.000000000000000000|0.000000000000000000|3605500.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|1.000000000000000000|1647.000000000000000000|0.000000000000000000|0.000000000000000000|1647.000000000000000000|0.000000000000000000|0.000000000000000000|1647.000000000000000000|0.000000000000000000|1647.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000||LIVE|LIVE|PGCB020530|2025-04-08|1|2025-04-10|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0|1|REVOLVING_CREDIT_FACILITY||2|1|1|1||ATTRIBUTE_CHANGE|CREATION|CREATION||2025-04-08 11:41:01.844|2025-04-08 13:35:41.861|2025-04-08 13:35:41.861|2025-04-08 13:35:41.861|CREATION|81|4073|0.000000000000000000|0.000000000000000000|0.000000000000000000|1|0.000000000000000000|0.000000000000000000|0.000000000000000000|2025-04-08|||2025-04-09|CONFIRMING|BSCH|20250409162209
Utilization|451741|585713||148749|416859|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O2-TA000000000025812|CL-CK8-A-CLP-0000005978951|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.000000000000000000|577500.000000000000000000|0.000000000000000000|577500.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|1.000000000000000000|264.000000000000000000|0.000000000000000000|0.000000000000000000|264.000000000000000000|0.000000000000000000|0.000000000000000000|264.000000000000000000|0.000000000000000000|264.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000||LIVE|LIVE|PGCB020530|2025-04-08|1|2025-04-10|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0|1|REVOLVING_CREDIT_FACILITY||2|1|1|1||ATTRIBUTE_CHANGE|CREATION|CREATION||2025-04-08 11:41:01.844|2025-04-08 13:35:42.398|2025-04-08 13:35:42.398|2025-04-08 13:35:42.398|CREATION|81|4073|0.000000000000000000|0.000000000000000000|0.000000000000000000|1|0.000000000000000000|0.000000000000000000|0.000000000000000000|2025-04-08|||2025-04-09|CONFIRMING|BSCH|20250409162209
Utilization|451742|585714||148749|416860|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O2-TA000000000025811|CL-CK8-A-CLP-0000005978950|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.000000000000000000|611500.000000000000000000|0.000000000000000000|611500.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|1.000000000000000000|347.000000000000000000|0.000000000000000000|0.000000000000000000|347.000000000000000000|0.000000000000000000|0.000000000000000000|347.000000000000000000|0.000000000000000000|347.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000||LIVE|LIVE|PGCB020530|2025-04-08|1|2025-04-10|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0|1|REVOLVING_CREDIT_FACILITY||2|1|1|1||ATTRIBUTE_CHANGE|CREATION|CREATION||2025-04-08 11:41:01.844|2025-04-08 13:35:42.896|2025-04-08 13:35:42.896|2025-04-08 13:35:42.896|CREATION|81|4073|0.000000000000000000|0.000000000000000000|0.000000000000000000|1|0.000000000000000000|0.000000000000000000|0.000000000000000000|2025-04-08|||2025-04-09|CONFIRMING|BSCH|20250409162209
Facility||585710||148750||||PRE000301CLE24|AGENCIAS UNIVERSALES S A|||0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|2500000000000.000000000000000000|0.000000000000000000|2500000000000.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|1.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000||LIVE||PGCB020530|2025-04-08|1|2026-05-21|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC|2025-04-08|0|1|REVOLVING_CREDIT_FACILITY||1||1|||CREATION||CREATION||2025-04-08 08:41:42.469||2025-04-08 08:41:42.469|||81|4073|0.000000000000000000|0.000000000000000000|0.000000000000000000|1|||0.000000000000000000|2025-04-08|||2025-04-09|CONFIRMING|BSCH|20250409162209
Facility||590640||149681||||DES000301CLE8_0409_T1|DST DEV-ÄËÏÖÜ-Æ-ÂÊÎÔÛ-Ñ-Ø-Ÿ-?¿ª!¡|||0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|8000000000.000000000000000000|0.000000000000000000|8000000000.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|1.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000||DEAD||PGCB020530|2025-04-09|1|2032-01-01|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC|2025-04-09|0|1|REVOLVING_CREDIT_FACILITY||3||2|||ATTRIBUTE_CHANGE||ATTRIBUTE_CHANGE||2025-04-09 11:37:29.871||2025-04-09 11:37:00.541|||81|4073|0.000000000000000000|0.000000000000000000|0.000000000000000000|1|||0.000000000000000000|2025-04-09|||2025-04-09|CONFIRMING|BSCH|20250409162209
Facility||590645||149683||||DES000301CLG9006_0409_T1|DST DEV GROUP 2|||0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|900000006.000000000000000000|0.000000000000000000|900000006.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|1.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000||LIVE||PGCB020530|2025-04-09|1|2029-01-01|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC|2025-04-09|0|1|REVOLVING_CREDIT_FACILITY||2||2|||ATTRIBUTE_CHANGE||ATTRIBUTE_CHANGE||2025-04-09 12:53:53.659||2025-04-09 12:53:53.659|||81|4073|0.000000000000000000|0.000000000000000000|0.000000000000000000|1|||0.000000000000000000|2025-04-09|||2025-04-09|CONFIRMING|BSCH|20250409162209
Facility||590648||149684||||DES000301CLG9006_0409_T3|DST DEV GROUP 2|||0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|90060006.000000000000000000|0.000000000000000000|90060006.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|1.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000||LIVE||PGCB020530|2025-04-09|1|2027-01-01|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC|2025-04-09|0|1|REVOLVING_CREDIT_FACILITY||1||1|||CREATION||CREATION||2025-04-09 13:15:28.856||2025-04-09 13:15:28.856|||81|4073|0.000000000000000000|0.000000000000000000|0.000000000000000000|1|||0.000000000000000000|2025-04-09|||2025-04-09|CONFIRMING|BSCH|20250409162209
Facility||590649||149685||||DES000301CLG9006_0409_T4|DST DEV GROUP 2|||0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|90060006.000000000000000000|0.000000000000000000|90060006.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|1.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000||LIVE||PGCB020530|2025-04-09|1|2027-01-01|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC|2025-04-09|0|1|REVOLVING_CREDIT_FACILITY||1||1|||CREATION||CREATION||2025-04-09 13:16:23.556||2025-04-09 13:16:23.556|||81|4073|0.000000000000000000|0.000000000000000000|0.000000000000000000|1|||0.000000000000000000|2025-04-09|||2025-04-09|CONFIRMING|BSCH|20250409162209
